,,,,,,,,
Gradient Power Amplifier (FHDO-GPA) for image generation,,,,,,,,
No.,Part name,Part Number,Name or code on PCB board,Quantity,Total Cost (Canadian dollars),"3D Printed
(Yes/No)","Added to Assembly ?/ 
Not yet added to the Assembly??","Disassembled ?/ 
Not yet Disassembled??"
17,Gradient former 3D print Z gradient,PLA Basic filament,approximatley 99.7 gram,1,$2.50,Yes,,
18,RF Coil holder or RF coil base,PLA Basic filament,approximately 20.63 gram,1,$0.52,Yes,,
19,Gradient filter casing cover,PLA Basic filament,approximatley 59.2 gram,1,$1.50,Yes,,
20,Gradient filter casing,PLA Basic filament,approximatley 118.9 gram,1,$2.97,Yes,,
21,Gradient filter casing cover,PLA Basic filament,approximately 61 gram,1,$1.53,,,
22,Gradient wires for X gradient,Enamelled copper wire ,approximatly 350 inch,1,$4.86,No,,
23,Gradient wires for Y gradient,Enamelled copper wire ,approximatly 350 inch,1,$4.86,No,,
24,Gradient wires for Z gradient,Enamelled copper wire ,approximatly 350 inch,1,$4.86,No,,
,phantoms,,,,,No,,
1,Cylindrical phantom,PLA Basic filament,approximately 37.6 gram,1,$0.94,Yes,,
2,Cylindrical phantom with two cylidrical compartments,PLA Basic filament,approximately 55.17 gram,1,$1.38,Yes,,
3,Volume of Olive oil (cylindrical phantom),Olive oil solution,approximatley 54 ml,1,$0.70,No,,
4,Volume of olive oil (two Compartment cylindircal),Olive oil solution ,approximetly 21 ml,1,$0.27,No,,
5,Strawberry,supermarket,,3,$1.00,No,,
,,,,,,,,
Subtotal,,,,,"$1,800.17",,,
,,,,,,,,
Gradient Power Amplifier Soldering and testing equipment for image generation,,,,,,,,
No.,Part name,Part Number,Name or code on PCB board,Quantity,Total Cost (Canadian dollars),"3D Printed
(Yes/No)","Added to Assembly ?/ 
Not yet added to the Assembly??","Disassembled ?/ 
Not yet Disassembled??"
,current sensor and Arduino for testing,,,,,,,
1,current sensor,CP6220-EU-ND,,1,$865.64,No,,
2,Arduino Uno,Arduino mega 2560,,1,$70.00,No,,
,Soldering Euipment for Self assembly,,,,,No,,
1,soldering station,Weller Soldering Iron,,1,$229.00,No,,
2,Soldering tips,Soldering tips (both conical and chisel tips),,10,$63.40,No,,
3,soldering flux,Soldering flux,,2,$32.95,No,,
4,solder wire,leaded solder wire thin,,1,$24.26,No,,
5,Solder wire,Leaded solder wire thick,,1,$20.37,No,,
6,Solder cleaning,Solder cleaning (SRA soldering),,1,$8.48,No,,
7,Alcohol for postsolder cleaning,Isopropyl alcohol,,1,$20.00,No,,
8,Brush,Brush (acid or flux brush),,1,$8.00,No,,
9,magnifier,Magnifier,,1,$40.00,No,,
10,soldering heat guns,Soldering heat guns,,1,$80.00,No,,
,,,,,,,,
,,,,,,,,
Subtotal,,,,,"$3,262.27",,,
,,,,,,,,
Grand total,,,,,"$3,262.27",,,
